month,requests
2009-01,327
2009-02,303
2009-03,466
2009-04,518
2009-05,1060
2009-06,1436
2009-07,1413
2009-08,1056
2009-09,476
2009-10,2735
2009-11,8386
2009-12,3441
2010-01,2532
2010-02,4519
2010-03,5273
2010-04,2513
2010-05,988
2010-06,4037
2010-07,1144
2010-08,5849
2010-09,1354
2010-10,697
2010-11,564
2010-12,729
2011-01,1109
2011-02,695
2011-03,798
2011-04,958
2011-05,1219
2011-06,866
2011-07,809
2011-08,1081
2011-09,934
2011-10,738
2011-11,454
2011-12,889
2012-01,574
2012-02,493
2012-03,20207
2012-04,27833
2012-05,30631
2012-06,32751
2012-07,33302
2012-08,31769
2012-09,29419
2012-10,23907
2012-11,24332
2012-12,5390
2013-01,648
2013-02,730
2013-03,16559
2013-04,26143
2013-05,26269
2013-06,27144
2013-07,28835
2013-08,25871
2013-09,23238
2013-10,22738
2013-11,18112
2013-12,18737
2014-01,22181
2014-02,22851
2014-03,32591
2014-04,38736
2014-05,32858
2014-06,30466
2014-07,30925
2014-08,28813
2014-09,27231
2014-10,22042
2014-11,17522
2014-12,19322
2015-01,22965
2015-02,20041
2015-03,31026
2015-04,28769
2015-05,26463
2015-06,28886
2015-07,30253
2015-08,26002
2015-09,22846
2015-10,21251
2015-11,18625
2015-12,21286
2016-01,34709
2016-02,21591
2016-03,24078
2016-04,24003
2016-05,24382
2016-06,26421
2016-07,26034
2016-08,29980
2016-09,27042
2016-10,24324
2016-11,20984
2016-12,20927
2017-01,22753
2017-02,21028
2017-03,24336
2017-04,24886
2017-05,27120
2017-06,29152
2017-07,29367
2017-08,30732
2017-09,27720
2017-10,26981
2017-11,23941
2017-12,23421
2018-01,24960
2018-02,23594
2018-03,28760
2018-04,27143
2018-05,31199
2018-06,32194
2018-07,31413
2018-08,33250
2018-09,28866
2018-10,30849
2018-11,23735
2018-12,22940
2019-01,28914
2019-02,25790
2019-03,30702
2019-04,31633
2019-05,34934
2019-06,33711
2019-07,36285
2019-08,35480
2019-09,30372
2019-10,29940
2019-11,23154
2019-12,26140
2020-01,33959
2020-02,24834
2020-03,24321
2020-04,22330
2020-05,24529
2020-06,26317
2020-07,28917
2020-08,27543
2020-09,27129
2020-10,24111
2020-11,20420
2020-12,21202
2021-01,20705
2021-02,21933
2021-03,26702
2021-04,26682
2021-05,27121
2021-06,34495
2021-07,36673
2021-08,37131
2021-09,34647
2021-10,39462
2021-11,28130
2021-12,27161
2022-01,32026
2022-02,24499
2022-03,31536
2022-04,31325
2022-05,34329
2022-06,36397
2022-07,35689
2022-08,38496
2022-09,35534
2022-10,31566
2022-11,27303
2022-12,28008
2023-01,31111
2023-02,26772
2023-03,33318
2023-04,35677
2023-05,42053
2023-06,39676
2023-07,41981
2023-08,44044
2023-09,34931
2023-10,37338
2023-11,30026
2023-12,28335
2024-01,35233
2024-02,29599
2024-03,33984
2024-04,37281
2024-05,40847
2024-06,38580
2024-07,37993
2024-08,38521
2024-09,36778
2024-10,37186
2024-11,28592
2024-12,3436
2025-01,36956
2025-02,29865
2025-03,36707
2025-04,37681
2025-05,42122
2025-06,41746
2025-07,45137
2025-08,41344
2025-09,37943
2025-10,6499
2026-01,38050
2026-02,44813
2026-03,40113
2026-04,40967
2026-05,42221
2026-06,24216
