service,Agent,Web,iOS Browser,iOS,Android Browser,Android,AWS Connect - Production,DPW-Trakster Key,total
Residential Bulk Collection,501,426,554,125,92,25,0,0,1723
Trash Collection - Missed,403,167,220,44,36,17,53,0,940
Recycling Collection - Missed,174,109,91,29,22,8,0,0,433
Pothole,86,58,51,6,13,5,0,0,219
Traffic Lights and Pedestrian Walk Signals,68,111,25,3,4,2,0,0,213
Roadway Signs,79,62,24,9,6,3,3,0,186
DC Health Rodent & Vector Control,55,42,28,9,13,0,10,0,157
Dead Animal Collection,69,18,25,8,3,3,0,1,127
Supercan - Delivery,71,28,12,1,5,1,0,0,118
Sidewalk Repair,26,36,23,28,4,1,0,0,118
Tree Inspection,71,25,14,2,0,1,0,0,113
Illegal Dumping,23,27,36,5,2,7,5,0,105
